Country,Year,As On Date,All India Institute Of Medical Sciences (Aiims) In Different Cities,"Number Of Non- Intensive Care Unit(Icu) Oxygen Beds  (UOM:Number), Scaling Factor:1","Nunmber Of Intensive Care Unit(Icu) Beds Including Ventilator (UOM:Number), Scaling Factor:1","Number Of Operationalization Of Dedicated Hospital Beds  (UOM:Number), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2021",17-Jun-2021,AIIMS Bhopal,300,200,500
India,"Financial Year (Apr - Mar), 2021",17-Jun-2021,AIIMS Bhubaneswar,295,62,357
India,"Financial Year (Apr - Mar), 2021",17-Jun-2021,AIIMS Jodhpur,120,190,310
India,"Financial Year (Apr - Mar), 2021",17-Jun-2021,AIIMS Mangalagiri,90,10,100
India,"Financial Year (Apr - Mar), 2021",17-Jun-2021,AIIMS Nagpur,120,20,140
India,"Financial Year (Apr - Mar), 2021",17-Jun-2021,AIIMS Patna,330,60,390
India,"Financial Year (Apr - Mar), 2021",17-Jun-2021,AIIMS Raipur,406,81,487
India,"Financial Year (Apr - Mar), 2021",17-Jun-2021,AIIMS Rishikesh,150,250,400
India,"Financial Year (Apr - Mar), 2021",17-Jun-2021,"AIIMS, Bathinda",45,25,70
India,"Financial Year (Apr - Mar), 2021",17-Jun-2021,"AIIMS, Bibinagar",70,0,70
India,"Financial Year (Apr - Mar), 2021",17-Jun-2021,"AIIMS, Gorakhpur",30,0,30
India,"Financial Year (Apr - Mar), 2021",17-Jun-2021,"AIIMS, Kalyani",20,0,20
India,"Financial Year (Apr - Mar), 2021",17-Jun-2021,"AIIMS, Raebareli",30,20,50
